Rank,WinRate,Games,KDA,AVG_kills,AVG_deaths,AVG_assists,Creep_Score,Damage,Gold,Multi_Kill
Challenger,53,136,4.32,7.5,3.6,8.1,160.1,15582,11485,121
Challenger,62,167,2.59,6.6,4.5,5.0,199.0,15760,11440,224
Challenger,58,116,3.24,6.2,3.9,6.4,200.3,22708,11474,115
Unranked,60,452,3.66,3.8,4.2,11.6,155.3,12503,9829,158
Master,66,79,2.97,7.7,6.1,10.3,122.8,22827,11583,54
Master,79,58,4.87,15.4,4.3,5.6,210.6,30077,15215,168
Unranked,51,116,3.25,7.3,5.2,9.6,172.7,16579,12087,106
Master,60,40,3.83,8.6,4.3,7.9,209.1,24876,12812,49
Master,49,172,3.11,9.4,5.1,6.3,171.2,18858,12516,200
Master,49,219,2.02,6.0,5.7,5.5,205.2,16647,11889,146
Master,55,22,2.88,0.9,5.8,15.9,30.0,6237,7196,0
Master,64,155,3.04,8.7,4.6,5.4,187.7,24204,12652,174
Master,59,530,2.4,8.4,5.8,5.5,179.7,19512,12076,537
Master,56,590,2.78,9.4,5.3,5.3,156.6,17626,11745,920
Challenger,57,157,3.51,8.7,4.4,6.7,165.0,17607,11728,245
Challenger,55,143,3.54,1.6,4.6,14.7,31.5,5809,7170,6
Challenger,73,114,3.86,4.3,3.7,10.1,119.8,13279,8616,30
Challenger,53,148,3.69,6.9,4.2,8.8,158.3,15437,11244,128
Master,50,250,3.04,8.2,4.7,6.2,187.2,18355,12186,278
Master,54,428,2.65,8.6,5.6,6.3,198.1,22659,13596,594
Unranked,60,20,3.1,9.9,5.3,6.6,214.9,21836,13668,38
Master,54,371,1.95,8.7,7.1,5.1,205.2,22369,13847,619
Unranked,58,116,2.32,5.2,5.1,6.7,155.8,16040,10483,56
Master,58,299,3.61,1.8,4.4,14.0,50.4,6003,7884,22
Diamond 1,60,50,2.92,2.2,6.2,15.9,23.5,9312,8017,2
Master,66,59,3.4,6.5,4.3,8.1,146.3,15753,10605,34
Master,53,324,2.6,1.9,6.2,14.1,15.8,9215,7555,23
Master,74,27,3.68,10.3,4.7,6.9,193.1,20600,12954,30
Unranked,52,394,2.64,7.6,5.4,6.6,192.0,17760,11803,453
Unranked,50,150,3.33,1.8,4.7,13.9,30.5,6179,7459,6
Master,68,53,2.05,6.9,5.6,4.7,158.8,18716,10567,43
Unranked,48,79,3.68,8.8,4.1,6.3,140.7,20067,11000,51
Challenger,57,171,4.02,6.9,3.2,6.1,170.0,17725,10805,110
Challenger,58,626,2.7,7.5,5.3,6.7,190.4,18080,11840,647
